F/H,NIVEL SILO 1,NIVEL SILO 2,TEMP SILO 1,TEMP SILO 2
2023-08-14 12:20:1,0,0,-39.4,-39.3
2023-08-14 12:21:1,0,0,-39.3,-39.2
2023-08-14 12:22:1,0,0,-39.3,-39.1
2023-08-14 12:23:1,0,0,-39.3,-39.0
2023-08-14 12:24:1,0,0,-39.2,-39.0
2023-08-14 12:25:1,0,0,-39.2,-39.0
2023-08-14 12:26:1,0,0,-39.2,-39.0
2023-08-14 12:27:1,0,0,-39.1,-39.0
2023-08-14 12:28:1,0,0,-39.1,-39.0
2023-08-14 12:29:1,0,0,-39.1,-38.9
2023-08-14 12:30:1,0,0,-39.1,-38.9
2023-08-14 12:31:1,0,0,-39.0,-38.9
2023-08-14 12:32:1,0,0,-39.0,-38.9
2023-08-14 12:33:1,0,0,-39.0,-38.9
2023-08-14 12:34:1,0,0,-39.0,-38.8
2023-08-14 13:12:37,0,0,-38.6,-38.6
2023-08-14 13:13:37,0,0,-38.6,-38.6
